slug,name,appcatalog_url
remote-utilities-agent,Remote Utilities Agent,https://appcatalog.cloud/apps/remote-utilities-agent
remote-utilities-viewer,Remote Utilities Viewer,https://appcatalog.cloud/apps/remote-utilities-viewer
renameninja,Renameninja,https://appcatalog.cloud/apps/renameninja
reqres,Reqres,https://appcatalog.cloud/apps/reqres
responsivelyapp,Responsivelyapp,https://appcatalog.cloud/apps/responsivelyapp
rocketsim,Rocketsim,https://appcatalog.cloud/apps/rocketsim
root3-support-app,Root3 Support App,https://appcatalog.cloud/apps/root3-support-app
rstudio-desktop,Rstudio Desktop,https://appcatalog.cloud/apps/rstudio-desktop
rumplet,Rumplet,https://appcatalog.cloud/apps/rumplet
rumpus,Rumpus,https://appcatalog.cloud/apps/rumpus
scratch-link,Scratch Link,https://appcatalog.cloud/apps/scratch-link
screen-share,Screen Share,https://appcatalog.cloud/apps/screen-share
screenflow-hal-audio-driver,Screenflow Hal Audio Driver,https://appcatalog.cloud/apps/screenflow-hal-audio-driver
screenml,Screenml,https://appcatalog.cloud/apps/screenml
scrutiny,Scrutiny,https://appcatalog.cloud/apps/scrutiny
setup-checklist,Setup Checklist,https://appcatalog.cloud/apps/setup-checklist
setup-manager,Setup Manager,https://appcatalog.cloud/apps/setup-manager
sforzando,Sforzando,https://appcatalog.cloud/apps/sforzando
shellhistory,Shellhistory,https://appcatalog.cloud/apps/shellhistory
shellleap,Shellleap,https://appcatalog.cloud/apps/shellleap
shells,Shells,https://appcatalog.cloud/apps/shells
shokz-connect,Shokz Connect,https://appcatalog.cloud/apps/shokz-connect
shortcut-bar,Shortcut Bar,https://appcatalog.cloud/apps/shortcut-bar
sketchup-pro-2021,Sketchup Pro 2021,https://appcatalog.cloud/apps/sketchup-pro-2021
sketchup-pro-2022,Sketchup Pro 2022,https://appcatalog.cloud/apps/sketchup-pro-2022
sketchup-pro-2023,Sketchup Pro 2023,https://appcatalog.cloud/apps/sketchup-pro-2023
skopos-agent,Skopos Agent,https://appcatalog.cloud/apps/skopos-agent
sleeve,Sleeve,https://appcatalog.cloud/apps/sleeve
slido-for-powerpoint,Slido For Powerpoint,https://appcatalog.cloud/apps/slido-for-powerpoint
smart-mirror-app,Smart Mirror App,https://appcatalog.cloud/apps/smart-mirror-app
smotrite,Smotrite,https://appcatalog.cloud/apps/smotrite
smugmug,Smugmug,https://appcatalog.cloud/apps/smugmug
sniffnet,Sniffnet,https://appcatalog.cloud/apps/sniffnet
soundfield-by-rode,Soundfield By Rode,https://appcatalog.cloud/apps/soundfield-by-rode
spacesuit,Spacesuit,https://appcatalog.cloud/apps/spacesuit
speediness,Speediness,https://appcatalog.cloud/apps/speediness
spyder-x-elite,Spyder X Elite,https://appcatalog.cloud/apps/spyder-x-elite
spyder-x-pro,Spyder X Pro,https://appcatalog.cloud/apps/spyder-x-pro
squirreldisk,Squirreldisk,https://appcatalog.cloud/apps/squirreldisk
starface,Starface,https://appcatalog.cloud/apps/starface
station,Station,https://appcatalog.cloud/apps/station
statusbuddy,Statusbuddy,https://appcatalog.cloud/apps/statusbuddy
streamline,Streamline,https://appcatalog.cloud/apps/streamline
studies,Studies,https://appcatalog.cloud/apps/studies
studio-viewer,Studio Viewer,https://appcatalog.cloud/apps/studio-viewer
substage,Substage,https://appcatalog.cloud/apps/substage
supavdo,Supavdo,https://appcatalog.cloud/apps/supavdo
supercharge,Supercharge,https://appcatalog.cloud/apps/supercharge
supercorners,Supercorners,https://appcatalog.cloud/apps/supercorners
swiftcord,Swiftcord,https://appcatalog.cloud/apps/swiftcord
swiftguard,Swiftguard,https://appcatalog.cloud/apps/swiftguard
talkdesk,Talkdesk,https://appcatalog.cloud/apps/talkdesk
teos-connect,Teos Connect,https://appcatalog.cloud/apps/teos-connect
text-on-tap-overlay,Text On Tap Overlay,https://appcatalog.cloud/apps/text-on-tap-overlay
text-workflow,Text Workflow,https://appcatalog.cloud/apps/text-workflow
textream,Textream,https://appcatalog.cloud/apps/textream
tigervnc-viewer,Tigervnc Viewer,https://appcatalog.cloud/apps/tigervnc-viewer
time-machine-inspector,Time Machine Inspector,https://appcatalog.cloud/apps/time-machine-inspector
timebuzzer,Timebuzzer,https://appcatalog.cloud/apps/timebuzzer
tinyweb,Tinyweb,https://appcatalog.cloud/apps/tinyweb
trace,Trace,https://appcatalog.cloud/apps/trace
trash-sweep,Trash Sweep,https://appcatalog.cloud/apps/trash-sweep
trident,Trident,https://appcatalog.cloud/apps/trident
tweeten,Tweeten,https://appcatalog.cloud/apps/tweeten
umbra,Umbra,https://appcatalog.cloud/apps/umbra
upaste,Upaste,https://appcatalog.cloud/apps/upaste
usb-network-gate,Usb Network Gate,https://appcatalog.cloud/apps/usb-network-gate
utm-coordinate-converter,Utm Coordinate Converter,https://appcatalog.cloud/apps/utm-coordinate-converter
vagon,Vagon,https://appcatalog.cloud/apps/vagon
vectoraster,Vectoraster,https://appcatalog.cloud/apps/vectoraster
vectorstyler,Vectorstyler,https://appcatalog.cloud/apps/vectorstyler
videoproc-vlogger,Videoproc Vlogger,https://appcatalog.cloud/apps/videoproc-vlogger
videostream,Videostream,https://appcatalog.cloud/apps/videostream
vidmore-player,Vidmore Player,https://appcatalog.cloud/apps/vidmore-player
vidmore-screen-recorder,Vidmore Screen Recorder,https://appcatalog.cloud/apps/vidmore-screen-recorder
vidmore-video-enhancer,Vidmore Video Enhancer,https://appcatalog.cloud/apps/vidmore-video-enhancer
viper-ftp,Viper Ftp,https://appcatalog.cloud/apps/viper-ftp
vocal,Vocal,https://appcatalog.cloud/apps/vocal
voiceedge,Voiceedge,https://appcatalog.cloud/apps/voiceedge
voices,Voices,https://appcatalog.cloud/apps/voices
vox-music-player,Vox Music Player,https://appcatalog.cloud/apps/vox-music-player
wacom-driver,Wacom Driver,https://appcatalog.cloud/apps/wacom-driver
walkme-extension-for-safari,Walkme Extension For Safari,https://appcatalog.cloud/apps/walkme-extension-for-safari
watchflower,Watchflower,https://appcatalog.cloud/apps/watchflower
wavepad,Wavepad,https://appcatalog.cloud/apps/wavepad
weave,Weave,https://appcatalog.cloud/apps/weave
webfont,Webfont,https://appcatalog.cloud/apps/webfont
webkiosk-8,Webkiosk 8,https://appcatalog.cloud/apps/webkiosk-8
wework-print,Wework Print,https://appcatalog.cloud/apps/wework-print
window-glue,Window Glue,https://appcatalog.cloud/apps/window-glue
withsecure-elements,Withsecure Elements,https://appcatalog.cloud/apps/withsecure-elements
wonderpen,Wonderpen,https://appcatalog.cloud/apps/wonderpen
wondershare-mockitt,Wondershare Mockitt,https://appcatalog.cloud/apps/wondershare-mockitt
workplace-pure-client,Workplace Pure Client,https://appcatalog.cloud/apps/workplace-pure-client
wudpecker,Wudpecker,https://appcatalog.cloud/apps/wudpecker
xelion,Xelion,https://appcatalog.cloud/apps/xelion
xmledita,Xmledita,https://appcatalog.cloud/apps/xmledita
xmlmind,Xmlmind,https://appcatalog.cloud/apps/xmlmind
xnresize,Xnresize,https://appcatalog.cloud/apps/xnresize
yodel,Yodel,https://appcatalog.cloud/apps/yodel
yoyotta,Yoyotta,https://appcatalog.cloud/apps/yoyotta
zaxconvert,Zaxconvert,https://appcatalog.cloud/apps/zaxconvert
zoom-workplace,Zoom Workplace,https://appcatalog.cloud/apps/zoom-workplace
